id,label,x,y
1,0,487081.7507,1019636.172
2,0,486948.1241,1019625.12
3,0,486427.6835,1020018.967
4,0,486583.4138,1020027.005
5,0,486261.9062,1020010.929
6,0,486414.6223,1020146.565
7,0,486560.3055,1020150.584
8,0,486243.8213,1020143.551
9,0,488616.9499,1020979.471
10,0,489588.5059,1021027.697
11,0,484909.2876,1048534.621
12,0,484945.723,1048500.279
13,0,484976.3715,1048471.391
14,0,485067.5829,1048385.421
15,0,485099.2421,1048355.581
16,0,485151.5076,1048306.319
17,0,487211.8609,1017672.463
18,0,486933.5558,1017668.444
19,0,487295.2519,1018453.124
20,0,487166.6488,1018823.863
21,0,488175.8815,1018261.727
22,0,488192.9616,1018670.644
23,0,488196.9805,1018521.947
24,0,488196.9805,1018594.286
25,0,488740.5294,1018181.35
26,0,488621.9734,1020869.958
27,0,489593.5294,1021171.371
28,0,489588.5059,1020810.68
29,0,484785.985,1020394.227
30,0,484932.6729,1020393.222
31,0,484173.111,1020318.873
32,0,486801.4362,1019621.101
33,0,485749.0009,1020676.551
34,0,485969.0328,1020616.268
35,0,485917.7925,1021229.142
36,0,486038.3579,1021227.132
37,0,485766.081,1021232.156
38,0,485229.5651,1020713.725
39,0,485351.1352,1020707.697
40,0,484881.9349,1020676.551
41,0,485014.5569,1020676.551
42,0,488193.9663,1019256.391
43,0,488064.3585,1019503.55
44,0,488159.8061,1019499.531
45,0,488114.5941,1019437.239
46,0,486926.0204,1019833.095
47,0,487050.6047,1019833.095
48,0,484708.1199,1020902.611
49,0,487080.2437,1021293.443
50,0,487257.0729,1021291.434
51,0,487086.2719,1021256.269
52,0,487256.0682,1021259.283
53,0,486227.2436,1020777.022
54,0,486502.5346,1020793.097
55,0,486363.8844,1020788.074
56,0,486229.253,1020720.758
57,0,486300.5875,1020606.221
58,0,484134.4296,1021186.944
59,0,484136.439,1021098.529
60,0,483995.7794,1021229.142
61,0,486344.7949,1017692.557
62,0,486568.8455,1017700.595
63,0,486464.3555,1017694.567
64,0,486051.4191,1020666.503
65,0,485789.022,1019589.285
66,0,486027.4735,1018361.863
67,0,486147.369,1018366.551
68,0,485900.8798,1018356.504
69,0,485469.8586,1018382.292
70,0,485608.5088,1018390.665
71,0,485328.5292,1018374.924
72,0,484405.1993,1018292.538
73,0,484229.0399,1018297.896
74,0,484742.28,1020677.555
75,0,484894.9962,1020777.022
76,0,485052.7359,1020779.031
77,0,484725.2,1020775.012
78,0,484883.9444,1020900.601
79,0,485025.6087,1020899.597
80,0,486958.6736,1020967.415
81,0,486630.9702,1019483.456
82,0,486288.0287,1019384.324
83,0,486426.009,1019399.06
84,0,486543.8952,1019407.098
85,0,486639.0079,1019409.777
86,0,486289.3683,1019689.756
87,0,486409.9336,1019693.775
88,0,486521.1217,1019697.794
89,0,486797.0825,1019516.946
90,0,486386.9927,1020610.24
91,0,486209.1588,1020607.225
92,0,485741.968,1020475.608
93,0,485901.7171,1020486.66
94,0,486045.3908,1020482.641
95,0,485902.7218,1020676.551
96,0,485973.2191,1019585.936
97,0,473502.128,953440.3983
98,0,473469.0895,953404.8743
99,0,473377.053,953305.4069
100,0,473424.2505,953355.1398
101,0,473454.8544,953269.8128
102,0,473487.9035,953321.9244
103,0,473520.945,953362.1878
104,0,473553.988,953404.8208
105,0,473367.5573,953206.6772
106,0,484588.0568,1018287.849
107,0,487125.958,1020817.713
108,0,487313.3367,1020751.402
109,0,487287.2142,1020816.205
110,0,487126.9627,1020744.369
111,0,486872.2684,1020967.917
112,0,486531.8386,1019475.418
113,0,473546.9922,953530.417
114,0,473594.1891,953580.1502
115,0,473634.3111,953629.8878
116,0,473672.0718,953674.8876
117,0,473719.2151,953639.3132
118,0,473686.177,953603.789
119,0,473594.1415,953504.3212
120,0,473641.3384,953554.0543
121,0,473671.9427,953468.7275
122,0,487055.6282,1019522.305
123,0,486940.4213,1019520.965
124,0,485965.8512,1019466.711
125,0,485807.1068,1019460.682
126,0,486110.5296,1019472.739
127,0,485880.1158,1019585.936
128,0,473454.9846,953475.9729
129,0,474049.538,953904.5095
130,0,474082.5858,953956.6215
131,0,474115.6263,953996.8853
132,0,474148.6682,954039.5188
133,0,473745.2164,953735.663
134,0,473792.4129,953785.3963
135,0,473832.5345,953835.1341
136,0,473870.2948,953880.1341
137,0,473917.438,953844.56
138,0,486279.991,1019078.892
139,0,486396.5375,1019084.25
140,0,486503.7067,1019086.93
141,0,486632.3098,1019088.269
142,0,486271.9533,1019463.361
143,0,486393.8583,1019468.72
144,0,473969.2978,953808.9829
145,0,474320.2013,954311.9241
146,0,474287.1642,954276.3994
147,0,474195.1316,954176.9303
148,0,474242.3271,954226.6641
149,0,474272.932,954141.3377
150,0,474305.9794,954193.4499
151,0,474339.0195,954233.7139
152,0,474372.0609,954276.3475
153,0,473924.5883,953966.1979
154,0,473704.9913,953520.8393
155,0,473738.0325,953561.1028
156,0,473771.0751,953603.736
157,0,473329.9036,953331.503
158,0,473377.1011,953381.2359
159,0,473417.2235,953430.9733
160,0,474018.9333,953989.836
161,0,475056.367,953652.7162
162,0,475103.562,953702.451
163,0,475143.6821,953752.19
164,0,475181.441,953797.1911
165,0,475228.5854,953761.6185
166,0,475195.5486,953726.0931
167,0,475103.5171,953626.622
168,0,475150.712,953676.3569
169,0,475181.3192,953591.0312
170,0,473884.4002,953809.0356
171,0,473792.3656,953709.5673
172,0,473839.5621,953759.3007
173,0,473870.1666,953673.974
174,0,473903.2148,953726.086
175,0,473936.2556,953766.3496
176,0,474273.0583,954347.4978
177,0,474706.6825,953863.0347
178,0,474739.7295,953915.1472
179,0,474772.7694,953955.4115
180,0,474805.8106,953998.0455
181,0,474811.1858,953785.5631
182,0,474858.381,953835.2976
183,0,474898.5012,953885.0364
184,0,474936.2603,953930.0373
185,0,474983.4043,953894.4644
186,0,473971.7843,954015.9314
187,0,474011.9055,954065.6694
188,0,474049.6654,954110.6695
189,0,474096.8085,954075.0956
190,0,474063.771,954039.5711
191,0,473971.7373,953940.1024
192,0,475035.265,953858.8887
