id,label,x,y
351,1,495551.1102181246,1054431.62650257
352,1,495451.7867366304,1054588.412513344
353,1,495391.0971606452,1054523.8367386535
354,1,495664.6352893181,1054353.226250821
355,1,495610.7981171789,1054299.0023645305
356,1,496706.5223361938,1054520.2487445755
357,1,496726.5849165126,1054502.0059832693
358,1,496685.9637312838,1054462.0764551773
359,1,496636.04541909706,1054433.4868094027
360,1,496666.8739131279,1054412.2850605384
361,1,496656.0272808909,1053498.756016672
362,1,496617.3632307603,1053467.2074138315
363,1,496882.5878779387,1053210.8245243113
364,1,497030.3669888584,1053011.1475600188
365,1,497078.33007264923,1053049.5978640062
371,1,495699.7440913262,1053241.0130285143
372,1,495601.3669148548,1053149.8192190179
373,1,495738.8809930716,1053116.2795211787
374,1,495869.05406066024,1053078.797117293
375,1,495789.27181402553,1052970.8388005737
376,1,494634.8858005096,1053567.0218318193
377,1,494665.23164046207,1053596.5975898844
378,1,494786.5766941004,1053439.313568824
379,1,494911.83645275177,1053271.6764191461
380,1,494951.4814198649,1053307.1671625685
381,1,493550.2365982185,1052515.1274984076
382,1,493600.6308214898,1052434.7599250162
383,1,493697.5232699105,1052385.9367069055
384,1,493658.85397718486,1052344.5311103354
385,1,493522.33609055146,1052486.0452211334
386,1,493569.5974865196,1051243.6767073902
387,1,493480.9953394995,1051135.23177317
388,1,493628.300435123,1051085.4138312947
389,1,493799.5855449373,1051025.2395506154
390,1,493709.516688079,1050925.1753355693
391,1,491933.07308167114,1046944.538534192
392,1,492120.01696451835,1046786.2468385366
393,1,491942.3414708244,1046795.1578603106
394,1,491775.4344802416,1046804.5603892419
395,1,492002.504415515,1046595.4806222057
396,1,489902.02727222827,1047867.9161288313
397,1,489754.6421176268,1047648.0775891455
398,1,489921.5473444258,1047647.540183346
399,1,489910.73237891437,1047470.0632265952
400,1,490068.395538366,1047688.4206738545
401,1,489880.5656196997,1042593.819668339
402,1,489803.2083909896,1042546.5123111774
403,1,489971.5758354616,1042436.5293585176
404,1,490008.26135046117,1042325.5952079224
405,1,490067.0170347094,1042373.8937793921
406,1,492474.4119545953,1046883.7892307437
407,1,492662.33322953735,1046704.3010635154
408,1,492535.0750859752,1046725.52465682
409,1,492367.1910877244,1046746.7567650093
